"CI job","failed job","successful job"
"coq_dpdgraph",177.732755,173.704706
"coq_dpdgraph",,180.948174
"coq_dpdgraph",,176.628469
"coq_dpdgraph",,168.740382
"coq_dpdgraph",,185.170109
"coq_dpdgraph",,176.995429
"reduction_effects",,175.01669
"reduction_effects",,181.410612
"reduction_effects",,176.481833
"reduction_effects",,177.299199
"reduction_effects",,181.157452
"reduction_effects",,176.907437
"reduction_effects",,179.77306
"coqtail",,173.50232
"coqtail",,187.664057
"coqtail",,172.636619
"coqtail",,177.612427
"coqtail",,183.608258
"vscoq",,187.531212
"vscoq",,184.519628
"vscoq",,189.869675
"vscoq",,179.883778
"vscoq",,190.541453
"vscoq",,171.862192
"vscoq",,187.43485
"bigenough",,189.501362
"bigenough",,174.692065
"bigenough",,188.680822
"bigenough",,191.322676
"bigenough",,189.705159
"bigenough",,192.786003
"aac_tactics",,186.060424
"aac_tactics",,193.283036
"aac_tactics",,181.155161
"aac_tactics",,192.649388
"aac_tactics",,183.946579
"aac_tactics",,188.694022
"aac_tactics",,189.792003
"paramcoq",,179.350435
"paramcoq",,193.689403
"paramcoq",,192.968627
"paramcoq",,183.636923
"paramcoq",,192.875458
"paramcoq",,181.854707
"paramcoq",,193.32609
"autosubst",,193.945114
"autosubst",,179.249422
"autosubst",,182.763973
"autosubst",,204.533453
"autosubst",,188.870663
"autosubst",,191.732805
"stdlib2",,191.280691
"stdlib2",,186.589928
"stdlib2",,198.198025
"stdlib2",,197.015304
"stdlib2",,192.158264
"stdlib2",,191.49798
"bbv",,203.181627
"bbv",,201.14003
"bbv",,191.612341
"bbv",,193.710736
"bbv",,195.343651
"bbv",,191.908778
"coqhammer",,205.651839
"coqhammer",,193.541319
"coqhammer",,193.651343
"coqhammer",,197.19075
"coqhammer",,203.71636
"coqhammer",,200.39279
"coqhammer",,209.708792
"finmap",,194.435486
"finmap",,213.746629
"finmap",,202.205945
"finmap",,208.203726
"finmap",,205.884287
"finmap",,217.874214
"lean_importer",,225.855122
"lean_importer",,231.296868
"lean_importer",,233.452475
"lean_importer",,218.442097
"lean_importer",,213.926628
"lean_importer",,223.574955
"lean_importer",,221.398194
"mathcomp_word",,246.96764
"mathcomp_word",,232.142589
"mathcomp_word",,219.566985
"mathcomp_word",,225.492968
"argosy",,230.513854
"argosy",,235.760799
"argosy",,224.39695
"argosy",,246.764989
"argosy",,244.751221
"argosy",,226.681339
"paco",,245.50617
"paco",,251.091766
"paco",,234.457241
"paco",,232.012173
"paco",,232.348043
"paco",,228.45766
"mczify",,243.259227
"mczify",,252.840303
"mczify",,252.476874
"tlc",,252.563022
"tlc",,263.702394
"tlc",,257.249904
"tlc",,262.260835
"tlc",,245.649971
"tlc",,255.106532
"deriving",,273.595555
"deriving",,262.439263
"deriving",,248.481302
"deriving",,244.675852
"menhir",,263.906128
"menhir",,266.479011
"menhir",,244.844245
"menhir",,252.74056
"menhir",,256.837738
"menhir",,279.515412
"fcsl_pcm",,294.535449
"fcsl_pcm",,297.906745
"fcsl_pcm",,289.109707
"bignums",,305.32098
"bignums",,290.379255
"bignums",,291.377404
"bignums",,290.539959
"bignums",,298.109315
"bignums",,300.914103
"bignums",,294.068569
"mtac2",,308.855658
"mtac2",,299.75594
"mtac2",,286.309694
"mtac2",,321.990194
"mtac2",,323.166756
"mtac2",,305.068203
"mtac2",,282.461224
"coqprime",,318.842168
"coqprime",,310.306174
"coqprime",,306.937625
"coqprime",,329.110609
"coqprime",,305.7809
"itauto",,306.575779
"itauto",,325.463099
"itauto",,328.33391
"itauto",,325.368394
"itauto",,316.126156
"itauto",,318.939156
"itauto",,303.585881
"coquelicot",,328.550947
"coquelicot",,336.574621
"coquelicot",,306.511185
"relation_algebra",161.484235,343.495548
"relation_algebra",,355.764018
"relation_algebra",,343.593734
"relation_algebra",,333.431011
"relation_algebra",,312.135962
"relation_algebra",,337.609688
"plugin_tutorial",165.122702,342.759126
"plugin_tutorial",,340.435708
"plugin_tutorial",,380.906664
"plugin_tutorial",,362.83346
"plugin_tutorial",,366.563586
"plugin_tutorial",,338.334434
"plugin_tutorial",,346.250523
"flocq",,363.355241
"flocq",,369.186845
"flocq",,362.902959
"flocq",,358.926388
"flocq",,360.009539
"flocq",,338.287474
"equations",164.415018,399.843157
"equations",180.122874,421.461474
"equations",176.67817,
"equations",176.391227,
"equations",170.467591,
"math_classes",,497.044117
"math_classes",,501.91679
"math_classes",,512.661049
"math_classes",,472.468788
"math_classes",,468.956072
"sf",,453.369353
"sf",,502.810172
"sf",,559.450438
"sf",,507.085963
"sf",,463.141402
"sf",,479.145983
"quickchick",,579.48691
"quickchick",,508.181321
"quickchick",,531.479222
"quickchick",,538.806464
"elpi",,625.03734
"elpi",,620.810805
"elpi",,634.860386
"elpi",,612.402921
"elpi",,622.473583
"elpi",,599.058634
"elpi",,646.596953
"hott",,677.246455
"hott",,644.339127
"hott",,678.481902
"hott",,644.182905
"hott",,776.905099
"hott",,715.461381
"engine_bench",,833.586763
"engine_bench",,796.140664
"engine_bench",,699.352365
"engine_bench",,869.07658
"engine_bench",,724.870767
"engine_bench",,709.992694
"rewriter",182.068113,855.107665
"rewriter",,812.141625
"rewriter",,847.65679
"rewriter",,809.710515
"rewriter",,805.808235
"coq_tools",,839.298999
"coq_tools",,834.359897
"coq_tools",,832.684465
"coq_tools",,826.161247
"coq_tools",,850.235709
"coq_tools",,865.854182
"jasmin",,953.997091
"jasmin",,835.761997
"jasmin",,926.754843
"jasmin",,874.354342
"analysis",,973.168533
"analysis",,854.065581
"analysis",,881.798618
"compcert",,1071.356241
"compcert",,913.959273
"compcert",,1003.866595
"cross_crypto",,973.152105
"cross_crypto",,1010.760956
"cross_crypto",,1022.269329
"cross_crypto",,1098.738484
"cross_crypto",,951.868795
"cross_crypto",,973.082551
"fiat_parsers",176.744285,1048.309681
"fiat_parsers",,995.128146
"fiat_parsers",,1004.990981
"fiat_parsers",,1020.105836
"fiat_parsers",,957.284705
"fiat_parsers",,1005.151035
"mathcomp",,1055.385954
"mathcomp",,1072.431966
"mathcomp",,1109.289624
"mathcomp_base",,1079.097791
"mathcomp_base",,1090.054421
"mathcomp_base",,1053.713917
"mathcomp_base",,1085.523256
"mathcomp_base",,1058.613895
"mathcomp_base",,1132.702234
"color",,1214.317823
"color",,1222.766581
"color",,1221.907294
"coq_performance_tests",,1233.183513
"coq_performance_tests",,1256.957097
"coq_performance_tests",,1225.929542
"coq_performance_tests",,1253.686634
"coq_performance_tests",,1227.323966
"coq_performance_tests",,1228.533689
"oddorder",,1439.602758
"oddorder",,1208.654957
"oddorder",,1274.158659
"verdi_raft",,1696.643179
"verdi_raft",,1612.253449
"verdi_raft",,1577.18283
"verdi_raft",,1590.931253
"corn",,1780.39327
"corn",,1777.359747
"corn",,1765.04036
"geocoq",,2071.087505
"geocoq",,1789.00615
"geocoq",,1771.370631
"category_theory",,2220.177514
"iris",,2282.03158
"iris",,2358.319319
"iris",,2332.960554
"fiat_crypto_ocaml",,2518.178071
"perennial",,2452.369318
"perennial",,2757.161595
"perennial",,2464.305279
"perennial",,2434.225725
"metacoq",,2876.666074
"fourcolor",,2901.546104
"fourcolor",,2891.262725
"fourcolor",,2894.600195
"vst",,4278.096344
"vst",,4169.981188
"vst",,3954.21961
"vst",,4068.085536
"fiat_crypto_legacy",,4330.858697
"fiat_crypto_legacy",,4648.916014
"fiat_crypto_legacy",,4408.053127
"bedrock2",259.81779,4989.591009
"bedrock2",,4932.721343
"bedrock2",,4970.674548
"unimath",,7886.613836
"unimath",,8039.058595
"unimath",,7993.504257
"fiat_crypto",5059.512213,9963.890121
